"http://ieeexplore.ieee.org/myprojects/showProjectListings.jsp?projectId=269494",2013/12/14 13:49:17
"Document Title","Authors","Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier,Document Notes,Document Tags,Date Added,Update Date
"Understanding Web applications through dynamic analysis","Antoniol, G.; Di Penta, M.; Zazzara, M.","Dept. of Eng., Sannio Univ., Benevento, Italy","Program Comprehension, 2004. Proceedings. 12th IEEE International Workshop on","24-26 June 2004","2004","","","120","129","The relevance and pervasiveness of Web applications as a vital part of modern enterprise systems has significantly increased in recent years. However, the lack of adequate documentation promotes the need for reverse engineering tools aiming at supporting Web application maintenance and evolution tasks. A nontrivial Web application is a complex artifact integrating technologies such as scripting languages, middleware, Web services, data warehouses and databases. The task to recover abstractions requires the adoption of dynamic analyses to complement the information gathered with static analyses. This paper presents an approach and a tool, named WANDA, that instruments Web applications and combines static and dynamic information to recover the as-is architecture and, in general, the UML documentation of the application itself. To this aim we propose an extension of the Conallen UML diagrams to account for detailed dynamic information. The tool has been implemented and tested on several Web applications. Its architecture has been conceived to allow easy customization and extension. The paper presents our tool in the context of a program understanding task; however, it can be usefully applied to many other tasks such as profiling, security and dependability verification and application restructuring.","1092-8138","0-7695-2149-5","","10.1109/WPC.2004.1311054","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1311054","","Data warehouses;Databases;Documentation;Information analysis;Instruments;Middleware;Reverse engineering;Service oriented architecture;Unified modeling language;Web services","Internet;Unified Modeling Language;data warehouses;database management systems;diagrams;formal verification;middleware;reverse engineering;system documentation;systems analysis","Conallen UML diagrams;UML documentation;WANDA;Web application evolution;Web application maintenance;Web application understanding;Web services;data warehouses;databases;dynamic analysis;enterprise systems;middleware;program understanding;reverse engineering;scripting languages","","","","12","","25","","","20040712","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Static and dynamic C++ code analysis for the recovery of the object diagram","Tonella, P.; Potrich, A.","Centro per la Ricerca Scientifica e Tecnologica, ITC-irst, Trento, Italy","Software Maintenance, 2002. Proceedings. International Conference on","2002","2002","","","54","63","When a software system enters the maintenance phase, the availability of accurate and consistent information about its organization can help alleviate the difficulties of program understanding. Reverse engineering methods aim at extracting such information directly from the code. While several tools support the recovery of the class diagram from object oriented code, so far no work has attacked the problem of statically characterizing the behavior of an object oriented system by means of diagrams which represent the class instances (objects) and their mutual relationships. In this paper a novel static analysis algorithm is proposed for extraction of the object diagram from the code, based on a program representation called the object flow graph. Partial object diagrams can be associated dynamically to the system by executing and tracing the program on a set of test cases. The complementary nature of these two views is discussed, and a novel approach to object oriented testing is derived from such a comparison. The usefulness of the proposed technique is illustrated on a real world, public domain C++ system.","1063-6773","0-7695-1819-2","","10.1109/ICSM.2002.1167747","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167747","","Algorithm design and analysis;Collaboration;Data mining;Flow graphs;High performance computing;Information analysis;Maintenance;Reverse engineering;Software systems;System testing","diagrams;object-oriented programming;program diagnostics;reverse engineering;software maintenance","class instances;dynamic C++ code analysis;object diagram recovery;object flow graph;object oriented code;object oriented testing;partial object diagrams;program representation;program tracing;program understanding;public domain C++ system;reverse engineering methods;software maintenance;static C++ code analysis;static analysis algorithm","","","","6","","","","","20030129","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Verification of recovered software architectures","Gannod, G.C.; Murthy, S.","Dept. of Comput. Sci. & Eng., Arizona State Univ., Tempe, AZ, USA","Program Comprehension, 2003. 11th IEEE International Workshop on","10-11 May 2003","2003","","","258","265","A common technique employed by software developers is the use of log files to generate traces of observed software behavior. As a resource for reverse engineering, a log file has the advantage of being an accurate account of software behavior. Model checking approaches work by using exploration to determine whether certain safety and liveness conditions are satisfied by a finite-state model. In this paper we describe an approach that combines the use of model checking and log file analysis to facilitate verification of recovered models.","1092-8138","0-7695-1883-4","","10.1109/WPC.2003.1199210","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1199210","","Computer architecture;Computer science;Engineering profession;Information resources;Instruments;NASA;Reverse engineering;Safety;Sampling methods;State-space methods","finite state machines;reverse engineering;software architecture","finite-state model;liveness conditions;log file analysis;log files;reverse engineering;safety;software architectures;software behavior;software developers","","","","0","","","","","20030521","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Reengineering of Java Legacy System Based on Aspect-Oriented Programming","Liangyu Chen; Jianlin Wang; Ming Xu; Zhenbing Zeng","Shanghai Key Lab. of Trustworthy Comput., East China Normal Univ., Shanghai, China","Education Technology and Computer Science (ETCS), 2010 Second International Workshop on","6-7 March 2010","2010","3","","220","223","Legacy System is difficult to be maintained and refactored for lack of necessary documents and source codes. How to generate some valuable information from system runtime behaviors is a big challenge to systems reengineering. In this paper, we attempt to reconstruct class diagram and sequence diagram from the binary bytecode of Java program by reflection and bytecode decompilation. The pattern of Aspect-Oriented Programming is applied to resolve the intricate codes of Interface and Dependency Injection pattern through weaving aspect codes into binary bytecodes during runtime to trace the system behaviors. The experiments show our approach can exactly generate the class diagram and sequence diagram from legacy Java System.","","978-1-4244-6388-6","978-1-4244-6389-3","10.1109/ETCS.2010.298","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5459990","Aspect-Oriented Programming;Java Legacy System;Reengineering;Runtime Behavior;component","Computer science education;Java;Lamps;Pattern analysis;Programming profession;Reflection;Runtime;Systems engineering education;Unified modeling language;Weaving","Java;object-oriented programming;program compilers;reverse engineering;software maintenance;systems re-engineering","Java legacy system reengineering;Java program;aspect code weaving;aspect-oriented programming;binary bytecodes;bytecode decompilation;class diagram reconstruction;dependency injection pattern;sequence diagram reconstruction;system maintenance;system refactoring;system runtime behavior tracing","","","","1","","12","","","20100506","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Recovering class diagrams from data-intensive legacy systems","Di Lucca, G.A.; Fasolino, A.R.; De Carlini, U.","Dipt. di Inf. e Sistemistica, Univ. di Napoli Federico II, Naples, Italy","Software Maintenance, 2000. Proceedings. International Conference on","2000","2000","","","52","63","Several reverse engineering methods for recovering objects from legacy systems have been proposed in the literature, but most of them neglect to identify the relationships among the objects, or recover only a part of them. The paper describes a method for recovering an OO (object oriented) model together with the objects and relationships among them. The proposed approach integrates the results of reverse engineering of both the procedural code and the persistent data stores of the system, and exploits a number of heuristic criteria to obtain a class diagram. A preliminary experiment carried out to validate the method on a COBOL medium-sized system yielded encouraging results","1063-6773","0-7695-0753-0","","10.1109/ICSM.2000.883005","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=883005","","Software maintenance","data handling;object-oriented programming;persistent objects;reverse engineering;software maintenance;system recovery","COBOL medium-sized system;OO model;class diagram;class diagram recovery;data-intensive legacy systems;heuristic criteria;object oriented model;object recovery;persistent data stores;procedural code;reverse engineering;reverse engineering methods","","","","3","","17","","","20020806","11 Oct 2000-14 Oct 2000","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Extraction and use of class dependency information for Java","Barowski, L.A.; Cross, J.H., II","Dept. Comput. Sci. & Software Eng., Auburn Univ., AL, USA","Reverse Engineering, 2002. Proceedings. Ninth Working Conference on","2002","2002","","","309","315","In this paper, a method for extracting class dependency information from Java class files is described. Advantages and disadvantages of using this method are discussed The problems of virtual dependence and synthetic methods are explained, and solutions offered. A convenient user interface is presented for making use of the dependency information in the form of an interactive UML class diagram, which is automatically generated from Java class files. This interface is a component of the jGRASP integrated development environment.","1095-1350","0-7695-1799-4","","10.1109/WCRE.2002.1173088","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1173088","","Computer science;Data mining;Displays;Java;Software engineering;Software systems;Terminology;Testing;Unified modeling language;User interfaces","Java;inheritance;object-oriented programming;specification languages;user interfaces","Java class files;class dependency information extraction;interactive UML class diagram;jGRASP integrated development environment;synthetic methods;user interface;virtual dependence","","","","5","1","","","","20030129","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Runtime Checking of UML Association-Related Constraints","Kun Wang; Wuwei Shen","Western Michigan Univ. Kalamazoo, Kalamazoo","Dynamic Analysis, 2007. WODA '07. Fifth International Workshop on","20-26 May 2007","2007","","","3","3","UML class models are important design artifacts used as blueprints of software systems to be built. Yet, implementations are often inconsistent with their models. Although many techniques have been proposed to tackle this problem, some dynamic aspects of a class model are still hard to be verified using existing techniques. In this paper, we present an approach to checking the UML association-related constraints during a program's execution. Our approach instruments event notification mechanism into Java bytecode and verifies the constraints imposed by design-level associations (including compositions), when certain events occur. The empirical studies show that our approach can help efficiently detect inconsistencies between a UML class model and its implementation.","","0-7695-2963-1","","10.1109/WODA.2007.8","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4273460","","Computer science;Instruments;Java;Programming;Reverse engineering;Runtime;Software design;Software systems;Systems engineering and theory;Unified modeling language","Java;Unified Modeling Language;program verification","Java bytecode;UML association-related constraint;event notification mechanism;program execution;program verification;runtime checking","","","","0","","19","","","20070716","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Applying pantomime and reverse engineering techniques in software engineering education","Pavlov, Vladimir L.; Boyko, N.; Babich, A.; Kuchaiev, O.; Busygin, S.","Int. Software & Productivity Eng. Inst., Lake Success","Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports, 2007. FIE '07. 37th Annual","10-13 Oct. 2007","2007","","","T1E-1","T1E-5","During the past six years, the authors have experimented with various modeling and quality control techniques while teaching software engineering to university students. The first group of experiments compared UML to natural languages (e.g. english); the second group modeled the entire software development process as a sequence of translations from more abstract languages to more formal languages (e.g. from english to UML, from UML to C++, etc.). In these experiments the authors and their students discovered new approaches to increasing productivity of software developers. On this basis, the authors have developed the framework that extends traditional development processes. The framework is built upon two simple, yet powerful principles: reverse semantic traceability (RST) and speechless modeling. The authors have over two years of experience of using RST in computing curricula, and also have over six years of experience of applying speechless Modeling in teaching computer science and software engineering. Both approaches resulted in improving the quality of education and generated positive feedback from students. Some students started to practice the authors' framework in their professional careers. In this paper, the authors present their experience of integrating RST and speechless modeling into university computer science/software engineering curricula.","0190-5848","978-1-4244-1083-5","978-1-4244-1084-2","10.1109/FIE.2007.4418054","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4418054","Pantomime;Reverse Semantic Traceability;Software Engineering Curricula;Speechless modeling","Computer science;Control engineering education;Formal languages;Natural languages;Productivity;Programming;Quality control;Reverse engineering;Software engineering;Unified modeling language","Unified Modeling Language;computer science education;formal languages;natural languages;quality control;software engineering","UML;natural language;pantomime;quality control technique;reverse engineering technique;reverse semantic traceability;software development process;software engineering education;speechless modeling","","","","1","","7","","","20080104","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"An investigation: reengineering sequential procedure-driven software into object-oriented event-driven software through UML diagrams","Millham, R.","","Computer Software and Applications Conference, 2002. COMPSAC 2002. Proceedings. 26th Annual International","2002","2002","","","731","733","Reengineering a COBOL legacy system is a difficult multi-step process, particularly when the COBOL legacy system is a sequential procedural-driven system which is being reengineered into an object oriented, event-driven system. In this scenario, it is necessary to analyse the legacy system in order to identify possible objects with their attributes and methods within the code and to determine how the legacy system's variables and procedures interrelate in order to model pseudo-events from strictly sequential code. The focus of reengineering is too often based on theory rather than based on experience gained from real-world examples. This paper hopes to address this imbalance by providing a practical application of reengineering to an actual legacy telecommunications system.","0730-3157","0-7695-1727-7","","10.1109/CMPSAC.2002.1045088","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1045088","","Business communication;Communication switching;Communication system software;Companies;Cost function;Documentation;Object oriented modeling;Reverse engineering;System testing;Unified modeling language","COBOL;object-oriented programming;specification languages;systems re-engineering;telecommunication computing","COBOL legacy system;UML diagrams;legacy telecommunications system;object-oriented event-driven software;pseudo-event modeling;sequential code;sequential procedure-driven software reengineering","","","","2","","6","","","20021210","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Reverse software engineering with UML for Web site maintenance","Sam Chung; Yun-Sik Lee","Dept. of Sci. & Math., Texas Univ., Odessa, TX, USA","Web Information Systems Engineering, 2000. Proceedings of the First International Conference on","2000","2000","2","","157","161 vol.2","It is shown that reverse software engineering using the Unified Process (UP) and visual models with the Unified Modeling Language can be applied to Web site maintenance. By reverse engineering the current Web sites, the implementation models of the current Web sites are derived from the Web sites. For the navigation schemes, the Web elements and their dependencies of the current Web sites are shown in component diagrams. Also, the physical directory structures are shown in the component view of the implementation model. Our empirical results on official university Web site maintenance show that the reverse software engineering and visual models can help Web administrators to understand the navigation schemes and physical structures quickly and easily","","0-7695-0577-5","","10.1109/WISE.2000.882874","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=882874","","Computer industry;Java;Navigation;Personnel;Reverse engineering;Software engineering;Software maintenance;Software systems;Unified modeling language;Web pages","educational technology;information resources;reverse engineering;software maintenance;specification languages;visual programming","UML;UP;Unified Modeling Language;Unified Process;Web administrators;Web elements;Web site maintenance;component diagrams;component view;implementation model;navigation schemes;official university Web sites;physical directory structures;reverse software engineering;visual models","","","","1","","9","","","20020806","19 Jun 2000-21 Jun 2000","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Reverse engineering of the interaction diagrams from C++ code","Tonella, P.; Potrich, A.","Centro per la Ricerca Scientifica e Tecnologica, ITC-irst, Povo, Italy","Software Maintenance, 2003. ICSM 2003. Proceedings. International Conference on","22-26 Sept. 2003","2003","","","159","168","In object oriented programming, the functionalities of a system result from the interactions (message exchanges) among the objects allocated by the system. While designing object interactions is far more complex than designing the object structure in forward engineering, the problem of understanding object interactions during code evolution is even harder, because the related information is spread across the code. In this paper, a technique for the automatic extraction of UML interaction diagrams from C++ code is proposed. The algorithm is based on a static, conservative flow analysis that approximates the behavior of the system in any execution and for any possible input. Applicability of the approach to large software is achieved by means of two mechanisms: partial analysis and focusing. Usage of our method on a real world, large C++ system confirmed its viability.","1063-6773","0-7695-1905-9","","10.1109/ICSM.2003.1235418","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1235418","","Algorithm design and analysis;Collaborative work;Data mining;Design engineering;Information analysis;Object oriented programming;Reverse engineering;Software maintenance;Systems engineering and theory;Unified modeling language","C++ language;message passing;object-oriented programming;program diagnostics;reverse engineering;specification languages","C++ code;UML interaction diagrams;automatic extraction;code evolution;conservative flow analysis;focusing mechanism;message exchange;object interactions;object oriented programming;partial analysis;reverse engineering;static flow analysis","","","","16","4","17","","","20031007","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Design Pattern Mining from Source Code for Reverse Engineering","Basu, N.; Chatterjee, S.; Chaki, N.","Salt Lake Electron. Complex, NUT Technol. Ltd., Kolkata","TENCON 2005 2005 IEEE Region 10","21-24 Nov. 2005","2005","","","1","7","Design patterns are micro architectures that have proved to be reliable, easy-to implement and robust. There is a need in science and industry for recognizing these patterns. This paper aims toward development of a new method for discovering design patterns in the source codes. The method provides a precise specification of how the patterns work by describing basic structural information like inheritance, composition, aggregation and association, and as an indispensable part, by defining call delegation, object creation and operation overriding. We have tried to introduce a new XML-based language, the extensible pattern markup language XPML, which provides an easy way for the users to modify pattern descriptions to suit their needs, or even to define their own patterns or just classes in certain relations they wish to find. The proposed method is tested on four open-source systems, and is found to be effective in discovering design pattern instances.","","0-7803-9311-2","0-7803-9312-0","10.1109/TENCON.2005.301336","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4085136","Design patterns;Reverse Engineering Engine;Unified Modeling Language (UML);XML","Computer architecture;Computer science;Information technology;Markup languages;Pattern recognition;Reverse engineering;Software measurement;Software systems;Unified modeling language;XML","XML;data mining;formal specification;inheritance;object-oriented programming;reverse engineering;software architecture","XML-based language;XPML;aggregation;association;call delegation;composition;design pattern discovery;design pattern mining;extensible pattern markup language;inheritance;object creation;operation overriding;pattern definition;pattern description modification;pattern recognition;reverse engineering;software microarchitecture;source code;structural information","","","","0","","17","","","20070205","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Reverse engineering of object oriented code","Tonella, P.","Centro per la Ricerca Scientifica e Tecnologica, ITC-IRST, Trento, Italy","Software Engineering, 2005. ICSE 2005. Proceedings. 27th International Conference on","15-21 May 2005","2005","","","724","725","During software evolution, programmers devote most of their effort to the understanding of the structure and behavior of the system. For object oriented code, this might be particularly hard, when multiple, scattered objects contribute to the same function. Design views offer an invaluable help, but they are often not aligned with the code, when they are not missing at all. This tutorial describes some of the most advanced techniques that can be employed to reverse engineer several design views from the source code. The recovered diagrams, represented in UML (Unified Modeling Language), include class, object, interaction (collaboration and sequence), state and package diagrams. A unifying static code analysis framework used by most of the involved algorithms is presented at the beginning of the tutorial. A single running example is referred all over the presentation. Trade-offs (e.g., static vs. dynamic analysis), limitations and expected benefits are also discussed.","","1-59593-963-2","","10.1109/ICSE.2005.1553682","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1553682","","Algorithm design and analysis;Collaboration;Object oriented programming;Packaging;Programming profession;Reverse engineering;Scattering;Software engineering;Software maintenance;Unified modeling language","object-oriented programming;program diagnostics;reverse engineering","diagram recovery;object oriented code;object oriented programming;reverse engineering;static code analysis","","","","3","","1","","","20051219","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Reverse Engineering State Machines by Interactive Grammar Inference","Walkinshaw, N.; Bogdanov, K.; Holcombe, M.; Salahuddin, S.","Regent Court, Sheffield","Reverse Engineering, 2007. WCRE 2007. 14th Working Conference on","28-31 Oct. 2007","2007","","","209","218","Finite state machine-derived specifications such as X-machines, extended finite state machines and abstract state machines, are an established means to model software behaviour. They allow for comprehensive testing of an implementation in terms of its intended behaviour. In practice however they are rarely generated and maintained during software development, hence their benefits can rarely be exploited. We address this problem by using an interactive grammar inference technique to infer the underlying state machine representation of an existing software system. The approach is interactive because it generates queries to the user as it constructs a hypothesis machine, which can be interpreted as system tests. This paper describes (1) how an existing grammar inference technique (QSM) can be used to reverse-engineer state-based models of software from execution traces at a developer-defined level of abstraction and (2) how the QSM technique can be improved for a better balance between the number of tests it proposes and the accuracy of the machine it derives. The technique has been implemented, which has enabled us to present a small case study of its use with respect to a real software system, along with some preliminary performance results.","1095-1350","978-0-7695-3034-5","","10.1109/WCRE.2007.45","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4400167","","Automata;Automatic testing;Electronic mail;Programming;Reverse engineering;Software engineering;Software maintenance;Software systems;Software testing;System testing","finite state machines;formal specification;grammars;program verification;reverse engineering","X-machines;abstract state machines;extended finite state machines;finite state machine-derived specifications;hypothesis machine;interactive grammar inference;reverse engineering state machines;software behaviour modeling","","","","9","","23","","","20071210","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"Model Transformation Specification and Verification","Lano, K.; Clark, D.","Dept. of Comput. Sci., King''s Coll. London, London","Quality Software, 2008. QSIC '08. The Eighth International Conference on","12-13 Aug. 2008","2008","","","45","54","Model transformations are becoming increasingly important in software development, particularly as part of model-driven development approaches (MDD). This paper defines an approach for specifying transformations as constraints, and for verifying the correctness of these transformations.","1550-6002","978-0-7695-3312-4","","10.1109/QSIC.2008.38","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4601527","Model transformations;Specification;UML","Computer science;Educational institutions;Java;Packaging;Programming;Reverse engineering;Software quality;Standards development;Unified modeling language","formal specification;formal verification;software architecture","formal specification;formal verification;model transformation;model-driven development approach;software development","","","","2","","14","","","20080819","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"A Matrix-Based Approach to Recovering Design Patterns","Jing Dong; Yajing Zhao; Yongtao Sun","Dept. of Comput. Sci., Univ. of Texas at Dallas, Richardson, TX, USA","Systems, Man and Cybernetics, Part A: Systems and Humans, IEEE Transactions on","Nov. 2009","2009","39","6","1271","1282","Design patterns describe good solutions to common and recurring problems in software design. They have been widely applied in many software systems in industry. However, pattern-related information is typically not available in large system implementations. Recovering these design pattern instances in software systems can help not only to understand the original design decisions and tradeoffs but also to change the systems with quality assurance. This paper presents our approach on recovering design patterns based on matrices and weights. We formally specify our methods to encode both the systems and the design patterns into matrices and weight. Our formal specification rigorously defines the structural, behavioral, and semantic analyses of our approach. A set of experiments on real-world systems is also carried out to evaluate our approach with analysis results.","1083-4427","","","10.1109/TSMCA.2009.2028012","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5256246","Design pattern;Extensible Markup Language (XML);Unified Modeling Language (UML);reverse engineering","","formal specification;matrix algebra;software architecture","behavioral analysis;formal specification;matrix-based approach;quality assurance;recovering design patterns;semantic analyses;software design;software systems;structural analysis","","","","4","","50","","2009-09-22","20091016","","IEEE","IEEE Systems, Man, and Cybernetics Society","IEEE Journals & Magazines","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"JCHVT: A kind of software visualization method for Java Code","Guoqiang Wang; Changzhen Hu; Zhigang Wang; Jun Zhen; Zhongyang Kan","Lab. of Comput. Network Defense Technol., Beijing Inst. of Technol., Beijing, China","Computer Application and System Modeling (ICCASM), 2010 International Conference on","22-24 Oct. 2010","2010","2","","V2-110","V2-113","Java Code Hierarchical Visualization Tool (JCHVT) is a software visualization system oriented to Java source code, which has been designed on the concept of service and with reference to Class diagram and Polymetric view. JCHVT is able to automatically create a hierarchical view of the software system, which can reflect the relationships among classes, structure of the system and even the roles of classes played in the system. Meanwhile, JCHVT provides various methods of human-computer interactions which can help user to understand the graph and identify the useful information in the view.","","978-1-4244-7235-2","978-1-4244-7237-6","10.1109/ICCASM.2010.5620081","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5620081","Java code;class diagram;hierarchical view of system structure;software visualization","Color;Erbium;Internet;Software;Visualization","Java;data visualisation;human computer interaction;reverse engineering;software tools","JCHVT;Java code hierarchical visualization tool;class diagram;graph;hierarchical view;human-computer interactions;polymetric view;software system;software visualization","","","","0","","10","","","20101104","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:37 PM EST","Dec. 14, 2013 1:37 PM EST"
"A systematic study of UML class diagram constituents for their abstract and precise recovery","Gue&#x0301;he&#x0301;neuc, Y.","Dept. d''Inf. et de Recherche Oper., Montreal Univ., Que., Canada","Software Engineering Conference, 2004. 11th Asia-Pacific","30 Nov.-3 Dec. 2004","2004","","","265","274","Existing reverse-engineering tools use algorithms based on vague and verbose definitions of UML constituents to recover class diagrams from source code. Thus, reverse-engineered class diagrams are neither abstract nor precise representations of source code and are of little interest for software engineers. We propose an exhaustive study of class diagram constituents with respect to their recovery from C++, Java, and Smalltalk source code. We exemplify our study with a tool suite, PTIDEJ, to reverse-engineer Java programs as UML class diagrams abstractly and precisely. The tool suite produces class diagrams that help software engineers in better understanding programs.","1530-1362","0-7695-2245-9","","10.1109/APSEC.2004.13","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1371928","","Computer architecture;Design engineering;Impedance;Java;Maintenance engineering;Reverse engineering;Software engineering;Software maintenance;Software tools;Unified modeling language","C++ language;Java;Smalltalk;Unified Modeling Language;reverse engineering;software tools","C++;Java;Ptidej tool;Smalltalk source code;UML;UML class diagram;abstract;precise recovery;reverse-engineering tool;software engineer;vague;verbose definition","","","","3","","24","","","20050117","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Program comprehension: A method of generating visualized UML class diagram","GuHui; WangHui","College of Computer Science and Technology, Zhejiang University of Technology, ZJUT, Hangzhou, China","Information Science and Engineering (ICISE), 2010 2nd International Conference on","4-6 Dec. 2010","2010","","","6775","6776","Program comprehension is an important research content of software engineering. This paper presents a Program comprehension visualization method of using UML class diagram. This method has two parts, first, The program source code is abstracted into database table, the form used to summarize and express program structure and key information, Then, the table was transformed into UML class diagrams, The class diagram can be effective to help understanding program structure and other key information.","","978-1-4244-7616-9","","10.1109/ICISE.2010.5690312","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5690312","UML class diagram;program comprehension;table abstract;visualization","Educational institutions;Software engineering;Software maintenance;Unified modeling language;Visualization","","","","","","0","","4","","","20110117","","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
"Reverse engineering of the UML class diagram from c++ code in presence of weakly typed containers","Tonella, P.; Potrich, A.","Centro per la Ricerca Scientifica e Tecnologica, ITC-irst, Trento, Italy","Software Maintenance, 2001. Proceedings. IEEE International Conference on","2001","2001","","","376","385","UML diagrams, and in particular the most frequently used one, the class diagram, represent a valuable source of information even after the delivery of the system, when it enters the maintenance phase. Several tools provide a reverse engineering engine to recover it from the code. In this paper an algorithm is proposed for the improvement of the accuracy of the UML class diagram extracted from the code. Specifically, important information about inter-class relations may be missed in a reverse engineered class diagram, when weakly typed containers, i.e., containers collecting objects whose type is the top of the inheritance hierarchy, are employed. In fact, the class of the contained objects is not directly known, and therefore no relation with it is apparent from the container declaration. The proposed approach was applied to several software components developed at CERN. Experimental results highlight that a substantial improvement is achieved when the container type information is refined with the inferred data. The number of relations otherwise missed is relevant and the connectivity of the associated class diagrams is radically different when containers are considered","1063-6773","0-7695-1189-9","","10.1109/ICSM.2001.972750","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=972750","","Collaborative work;Computer languages;Containers;Data mining;Engines;Information resources;Java;Libraries;Reverse engineering;Unified modeling language","C++ language;reverse engineering;software maintenance;specification languages","C++ code;UML class diagram;inter-class relations;reverse engineering;weakly typed containers","","","","8","","14","","","20020806","07 Nov 2001-09 Nov 2001","IEEE","","IEEE Conference Publications","","","Dec. 14, 2013 1:29 PM EST","Dec. 14, 2013 1:29 PM EST"
